account_length,international_plan,voice_mail_plan,total_intl_charge,number_customer_service_calls,churn,total_call,total_minutes,total_charge
70,0,1,2.65,1,no,267,731.9,74.51
128,0,1,2.32,0,no,268,728.2,64.22
94,0,0,2.16,4,yes,290,502.5,48.55
111,0,0,3.24,1,no,292,605.2,62.36
74,0,1,2.94,2,no,245,479.6,45.78
128,0,0,3.75,1,yes,286,694.4,70.89
82,0,0,3.0,1,no,260,448.4,45.96
155,0,0,2.4,0,yes,323,590.3,59.63
80,0,0,2.13,1,no,269,550.5,47.230000000000004
78,0,0,2.57,3,no,310,695.2,70.03
90,0,0,2.86,3,no,243,497.4,52.4
73,0,0,3.51,0,no,254,547.5,53.17999999999999
99,0,0,2.35,4,no,276,596.4,59.900000000000006
120,0,0,1.43,1,yes,331,588.7,61.379999999999995
77,0,0,2.65,2,yes,307,732.7,72.67
98,0,1,1.19,4,no,289,573.5999999999999,56.050000000000004
108,0,0,3.94,0,no,315,496.4,52.19
95,0,0,3.38,1,no,307,563.9000000000001,49.6
122,0,0,3.05,1,no,278,592.8,54.94
95,0,0,3.19,4,no,278,615.3,64.94
36,0,1,2.43,2,no,291,670.8,73.45
93,0,1,2.65,1,no,332,499.4,43.779999999999994
157,0,0,2.59,3,no,319,619.1,62.5
120,0,0,2.24,1,no,269,601.4,60.370000000000005
98,0,0,3.27,4,no,343,579.5999999999999,53.85
125,0,0,3.59,1,no,312,580.5,50.199999999999996
63,0,0,2.54,1,no,272,439.9,33.94
36,1,1,5.4,0,yes,337,590.0,61.35
64,0,0,3.83,1,no,314,372.4,43.18000000000001
74,0,0,2.54,1,yes,277,672.4,74.37
46,0,0,3.54,1,no,285,637.6,64.05
41,0,1,1.94,0,no,311,497.8,54.800000000000004
121,0,0,2.65,3,no,323,595.0,57.96
193,0,0,3.13,1,no,308,416.1,45.379999999999995
130,0,0,2.48,2,no,334,491.79999999999995,45.81
85,0,0,3.24,1,no,262,683.3,65.1
162,0,0,2.46,4,yes,277,383.0,32.38
61,0,1,1.73,4,yes,356,559.8,54.5
92,0,0,2.48,2,no,299,460.4,39.93
90,0,0,2.94,3,no,329,510.1,49.849999999999994
75,0,0,1.65,1,no,291,581.2,53.269999999999996
78,0,0,2.57,1,no,375,722.8,70.61
82,0,0,1.92,4,no,258,607.6,60.42
163,0,0,2.46,1,no,317,606.0,60.0
91,1,0,3.02,3,no,325,550.4000000000001,47.93
127,0,1,3.02,1,no,264,573.3,53.77
113,0,1,2.75,2,no,220,515.6,54.910000000000004
110,0,0,3.35,1,no,311,618.5,57.449999999999996
120,0,1,2.84,0,no,281,674.5,64.2
157,0,1,1.84,3,no,320,497.8,54.3
103,0,0,3.16,1,no,227,642.5,67.55
117,1,0,3.81,2,yes,305,594.0,54.72
121,0,0,2.3,1,no,322,561.5,56.69
145,0,1,3.0,2,no,278,706.6999999999999,70.5
113,0,0,2.86,1,no,291,587.5,59.52
117,0,0,2.73,1,no,315,608.5,48.51
65,0,0,2.03,1,no,319,572.8,55.57000000000001
56,0,0,1.86,1,no,372,615.0,65.86000000000001
96,0,0,3.11,5,no,248,675.9,68.81
151,0,0,2.65,0,no,355,736.7,67.17999999999999
83,0,0,4.27,0,yes,350,718.6999999999999,83.62
139,0,1,3.7,0,no,337,663.8,59.45
6,0,0,2.75,1,no,268,618.9,61.07
115,0,1,2.59,1,no,367,490.3,47.17
141,0,0,3.24,0,no,324,712.1,68.85
62,0,0,3.29,1,no,307,470.9,38.97
185,0,1,2.03,1,no,385,617.9000000000001,58.07000000000001
148,0,0,2.94,1,no,320,706.5,66.77000000000001
94,0,1,3.46,1,no,313,469.29999999999995,50.120000000000005
32,0,0,1.7,0,no,230,572.3,62.11
68,0,0,3.56,1,no,289,558.0,63.690000000000005
25,0,0,2.84,3,no,274,599.7,50.36000000000001
65,0,0,3.81,1,no,330,478.1,43.28
179,0,0,1.65,0,no,321,613.3,60.96999999999999
94,0,0,3.0,2,no,335,592.5,65.0
62,0,0,3.29,0,no,313,532.7,49.97
116,0,0,4.37,3,no,281,575.6,55.36
70,0,0,0.0,3,no,346,725.5999999999999,73.36
94,1,1,2.57,4,no,364,693.8,64.44
126,0,0,3.21,5,yes,303,333.7,27.84
67,0,1,2.67,2,no,308,523.1999999999999,47.49999999999999
19,0,0,3.94,2,no,282,654.4,62.89000000000001
170,1,0,2.27,3,no,311,639.3,71.05999999999999
73,0,0,2.92,1,no,372,724.0,70.1
106,0,0,2.75,1,no,316,421.5,41.38
93,0,0,2.94,2,no,300,578.3,69.15
51,0,0,2.46,1,no,311,651.0,65.84
130,0,0,2.57,1,no,282,505.6,48.49
80,0,0,2.38,2,no,270,613.2,61.629999999999995
94,0,0,3.62,0,no,337,490.7,47.4
118,0,1,2.57,1,no,251,575.2,68.74
117,0,1,1.84,1,no,264,555.6,56.85
78,0,0,2.62,0,no,360,593.4,52.709999999999994
208,0,0,2.89,2,yes,282,684.5,78.68
131,1,1,3.73,4,yes,325,747.9,78.24999999999999
63,0,0,3.51,0,no,259,505.7,40.22
53,0,1,3.54,3,no,378,616.1,54.76
62,0,0,3.02,2,no,325,755.5,69.92
97,0,0,1.73,3,no,290,642.5,63.52
105,0,0,1.84,2,no,243,536.2,48.839999999999996
157,0,0,2.54,1,no,278,608.3,56.760000000000005
66,0,1,3.27,1,no,270,506.9,44.54
122,0,0,3.7,2,no,254,507.50000000000006,56.67
38,0,0,2.92,3,no,279,604.4000000000001,58.97
106,0,0,3.29,3,no,289,625.9000000000001,60.97
99,0,0,4.27,3,no,290,690.0,68.06
99,0,0,3.13,1,no,279,584.9,62.69
144,1,0,3.21,0,no,297,645.4000000000001,64.39
93,0,0,3.11,3,no,322,583.0999999999999,55.79
120,0,0,1.27,3,no,253,669.5999999999999,61.599999999999994
106,0,0,1.92,0,no,326,521.8,55.76
81,0,0,3.29,3,no,313,548.4,53.730000000000004
127,0,1,2.75,1,no,285,585.4,54.06999999999999
65,0,0,1.19,1,no,312,629.2,56.25
35,0,0,2.4,2,no,339,565.8,53.81
88,0,0,3.73,2,no,286,469.6,36.04
65,0,0,0.73,1,no,328,698.0,67.46000000000001
123,0,0,2.08,3,no,299,673.1,65.94
126,0,1,2.59,2,no,300,452.29999999999995,51.209999999999994
45,0,1,3.21,0,no,284,673.0999999999999,67.39
93,1,0,2.84,0,yes,283,659.0,73.82999999999998
63,1,1,2.97,1,no,313,687.9,67.48
100,0,0,3.65,3,no,344,601.0,61.120000000000005
53,0,0,2.94,0,no,297,543.4000000000001,54.37
92,1,0,2.43,1,no,362,646.5999999999999,60.35
139,0,0,2.75,5,yes,329,539.3000000000001,49.52
110,0,1,2.43,2,no,329,556.3,55.11
110,0,0,2.65,3,no,316,467.5,38.39
215,0,0,2.89,0,no,349,431.1,34.69
138,0,0,3.48,0,no,293,503.8,53.73
137,1,0,3.32,2,yes,278,492.29999999999995,44.41
85,0,0,1.92,3,no,254,596.2,62.03
22,0,0,2.57,0,no,296,479.1,42.0
107,0,1,3.0,0,no,288,424.0,30.67
51,0,0,2.75,0,no,218,647.9,61.99
94,0,0,2.48,4,no,280,630.1,59.18
33,0,1,3.75,4,yes,258,554.5,49.34
106,0,0,3.89,4,no,343,571.7,58.59
86,0,1,2.57,0,no,293,585.9,50.44
97,1,0,2.94,0,no,280,595.0,55.66
106,0,1,3.81,4,no,305,555.5,54.38999999999999
108,0,0,2.65,1,no,331,542.5,48.63
114,0,0,3.92,1,no,299,528.0,44.34
92,1,0,2.81,1,yes,317,464.9,35.97
59,0,0,2.35,1,no,282,559.9,53.99999999999999
24,0,1,1.81,1,no,270,605.4000000000001,56.22
151,0,0,4.16,1,no,261,501.5,45.11
117,0,0,3.11,1,no,307,539.8,50.65
78,0,0,3.38,1,no,319,630.5,58.26
155,0,0,2.24,2,no,253,603.5,67.74
114,0,1,3.08,1,no,253,757.8,70.27
114,0,1,2.27,4,no,311,651.2,65.25999999999999
119,0,0,3.65,3,no,265,572.7,49.88
118,1,0,2.67,2,no,318,520.2,50.43
101,0,0,3.94,0,no,322,681.4,65.49
117,0,0,2.08,1,no,308,515.6,47.24
49,0,1,2.16,3,no,285,655.8,65.72
139,0,0,3.51,3,no,301,630.4000000000001,61.84
92,0,1,2.7,1,no,283,585.0999999999999,53.01
148,1,0,3.0,0,no,272,630.2,64.04
144,0,1,1.76,2,yes,269,527.4000000000001,52.400000000000006
131,0,1,2.94,2,no,249,672.8,63.39999999999999
146,1,0,2.84,3,no,339,646.2,63.39
143,0,0,3.51,2,no,324,534.5,52.55
81,0,0,2.81,2,no,272,602.6,60.36
48,0,1,3.29,1,no,279,515.7,56.06
145,0,1,4.21,2,no,300,575.3,51.349999999999994
137,0,0,2.38,2,no,308,528.9,54.720000000000006
137,0,0,3.92,2,no,258,705.1,65.84
167,0,0,3.81,0,no,249,595.2,58.019999999999996
89,0,0,1.43,1,yes,298,876.9,87.88
199,0,1,2.16,0,no,314,749.3,71.32000000000001
132,0,0,2.62,0,no,314,353.7,33.52
94,0,0,1.59,1,no,332,517.8,53.199999999999996
96,0,1,2.65,1,no,269,565.6,52.38
166,0,0,2.57,1,no,376,600.9000000000001,59.76
74,0,0,2.73,2,no,235,475.79999999999995,42.03
36,0,0,3.21,0,no,274,582.3,53.28
113,0,0,1.78,4,no,337,641.3,64.55000000000001
67,0,0,3.21,2,no,272,477.5,47.36
127,0,0,1.59,1,yes,393,738.6000000000001,77.15
158,0,0,2.46,1,no,309,691.6,62.57
136,0,0,2.78,1,no,284,559.7,46.830000000000005
196,0,0,2.46,2,no,293,656.6,68.78
113,0,0,2.3,1,yes,334,754.4000000000001,78.7
122,0,0,3.08,4,yes,295,645.1,74.68
112,0,0,3.08,0,no,290,568.1,57.48
209,0,0,2.4,3,no,294,669.0999999999999,68.84
62,0,0,3.56,1,yes,305,734.4,72.94
110,0,1,2.62,1,no,296,615.7,65.08
16,0,0,2.94,0,no,226,595.2,59.26
73,0,0,2.65,0,no,335,579.4,49.06
128,0,0,5.1,0,no,317,585.0,50.19
39,0,0,3.35,1,no,324,490.5,41.879999999999995
103,0,1,2.08,2,no,281,551.9,50.769999999999996
119,0,1,2.05,3,no,256,522.2,48.5
86,0,0,1.67,0,no,254,722.9,64.93
114,0,1,3.48,1,no,273,535.4,46.85
104,0,0,2.7,0,no,294,630.5,55.99
148,0,0,3.05,1,no,317,584.5,46.95
129,0,0,3.62,3,no,324,607.0,59.39
100,0,1,1.92,0,no,329,430.6,35.51
121,0,1,3.08,1,no,206,475.29999999999995,38.34
143,0,1,2.57,1,no,316,631.0,67.71
76,0,0,3.38,0,no,312,603.8,60.64
158,0,0,3.89,0,no,282,525.5,58.92
116,0,0,2.13,3,no,327,635.2,65.12
54,0,0,2.57,1,yes,268,718.6999999999999,76.36
86,0,0,3.29,7,yes,366,463.79999999999995,44.790000000000006
108,0,0,2.51,0,no,264,640.0,60.56
151,0,1,2.32,1,no,231,522.3,55.879999999999995
99,0,0,2.86,0,no,251,610.9,59.5
55,0,0,1.89,2,no,367,673.5,61.64
78,0,0,3.94,0,no,296,599.8,63.1
89,0,0,2.46,1,yes,260,652.2,63.04
44,0,1,3.78,0,no,252,611.2,61.7
98,0,1,0.0,2,no,268,485.5,36.97
64,0,1,3.59,1,no,294,403.9,40.84
141,0,0,1.94,3,no,370,574.4,65.53999999999999
81,0,1,3.29,1,no,308,545.9000000000001,49.69
162,0,0,2.84,1,no,327,562.5,59.089999999999996
83,0,1,3.54,3,no,334,445.80000000000007,46.04
59,0,0,3.05,4,no,299,617.1,58.78
179,1,1,2.73,4,no,234,691.7,68.02000000000001
79,0,0,1.43,1,no,331,425.79999999999995,45.269999999999996
117,0,0,3.97,2,no,265,590.6,57.47
64,1,0,3.56,2,yes,259,648.9,67.46
122,0,1,2.3,2,no,313,483.9,47.63999999999999
90,0,1,1.57,1,no,309,593.1999999999999,56.05
159,1,0,2.38,1,yes,262,752.3,78.49
148,0,0,3.05,0,no,263,557.1,47.81
39,0,1,3.24,1,no,365,596.1,53.830000000000005
77,0,0,3.05,2,no,361,642.8,61.800000000000004
194,0,0,2.94,0,no,287,568.1,54.39
112,0,0,2.46,4,no,334,586.0,61.1
45,0,0,4.86,1,no,335,586.6,46.31
132,0,0,2.05,1,no,361,462.3,40.52
135,0,0,2.78,1,no,277,631.2,62.64
56,0,0,2.86,2,no,303,645.1,62.57000000000001
151,1,0,3.35,0,yes,240,601.5999999999999,58.89
32,0,0,4.0,2,no,302,562.0,55.09
87,0,1,2.86,0,no,309,528.5,57.730000000000004
138,0,0,3.02,2,no,314,476.6,47.5
79,0,0,1.81,1,no,337,646.3,63.370000000000005
95,1,0,3.11,1,yes,285,650.6,61.42
127,0,0,1.84,2,no,309,614.8,61.720000000000006
137,0,0,3.97,3,no,261,651.7,67.24
97,0,0,3.97,1,no,315,547.0,49.78
149,1,0,1.54,0,no,260,570.7,53.510000000000005
117,1,1,1.0,1,no,284,744.3000000000001,70.9
84,0,0,1.94,2,no,297,594.5,56.580000000000005
137,0,0,2.89,4,no,303,655.3,67.07
54,0,0,2.3,1,no,238,542.8,58.92
85,0,0,2.89,1,no,339,520.4,46.980000000000004
43,0,0,3.0,1,no,316,626.9000000000001,59.00999999999999
35,0,0,2.35,0,no,335,576.9,49.489999999999995
98,0,0,3.35,5,no,359,615.5,60.57000000000001
112,0,0,2.54,2,no,267,608.0,62.709999999999994
16,0,0,2.92,0,yes,277,601.5,63.99000000000001
98,0,1,2.62,0,no,274,479.30000000000007,60.09
84,0,0,2.3,1,no,359,498.7,50.36
66,0,0,2.86,1,yes,277,589.0,56.620000000000005
74,0,0,2.86,0,no,330,572.0,57.81
96,0,1,2.67,1,no,293,503.1,48.559999999999995
119,0,0,3.02,1,no,341,546.6,58.980000000000004
92,1,0,2.51,0,no,279,623.8000000000001,67.55
21,0,0,1.84,0,no,265,503.1,45.27
122,0,0,2.3,4,yes,315,539.2,51.3
133,1,0,2.78,1,no,277,513.6,49.08
145,0,0,1.3,2,no,335,551.9,56.209999999999994
25,0,0,2.27,2,no,261,523.0,51.54
64,0,0,2.81,2,no,262,472.4,40.85
85,0,0,1.46,0,no,274,670.9000000000001,72.37
76,0,0,2.7,0,no,256,512.9,49.23
224,1,0,1.35,1,yes,304,543.9,52.32
117,0,0,2.65,0,no,283,624.2,65.07
128,0,1,4.32,1,no,233,576.4000000000001,51.519999999999996
115,0,0,2.03,2,no,277,723.6,68.66
141,0,1,2.51,2,no,376,643.0999999999999,65.37
51,0,0,4.13,1,no,320,513.3,62.629999999999995
100,0,0,3.38,0,no,281,684.2,67.58999999999999
96,0,1,2.78,3,no,303,652.7,66.09
112,0,1,3.05,1,no,341,551.8,57.74
129,1,0,2.94,1,no,362,583.5999999999999,57.790000000000006
163,0,0,3.38,1,no,334,416.0,38.56
67,0,1,2.59,1,no,286,538.6,46.0
140,0,0,3.02,3,no,325,579.3,55.59
49,0,0,3.35,2,no,314,607.1,53.18
46,0,0,3.59,2,yes,294,705.9000000000001,73.47999999999999
148,0,0,3.08,1,no,306,641.9000000000001,62.48
112,0,0,3.46,1,no,268,684.7,68.52
78,0,0,3.19,2,no,332,485.9,48.25
61,0,1,2.32,0,no,252,695.7,75.54
58,0,1,3.02,1,no,279,523.5,58.37
100,0,0,2.24,0,yes,276,674.2,72.16
113,0,0,3.65,1,no,322,675.0,62.97
81,0,0,1.7,2,no,287,549.6,51.830000000000005
135,0,1,3.32,1,no,352,673.2,70.63
99,0,0,3.35,0,no,255,566.7,55.54
135,0,0,3.4,1,no,359,589.1,64.87
85,1,0,2.59,2,no,343,710.5999999999999,60.49
88,0,0,2.59,3,no,364,553.4,51.63
55,0,0,1.86,2,no,343,614.0,68.84
79,0,1,1.7,4,no,289,640.5,69.97
85,0,0,3.38,0,no,307,601.3,53.89
86,0,1,2.65,0,no,293,717.5,70.34
91,0,0,2.24,0,no,314,654.3,57.879999999999995
149,0,1,3.86,1,no,241,663.5999999999999,65.68
97,0,0,3.0,1,yes,326,753.0,76.89
88,0,0,4.0,1,yes,351,670.7,73.1
60,0,0,2.51,2,no,226,502.29999999999995,42.09
54,0,0,2.62,2,no,233,539.5,54.82
109,0,0,2.97,0,no,325,458.09999999999997,48.43000000000001
90,0,0,2.59,1,no,323,619.0,69.41
115,0,0,2.59,3,no,316,676.0,58.04
144,0,1,2.73,1,no,333,422.9,36.660000000000004
91,0,0,1.59,0,no,251,609.5,51.949999999999996
71,1,0,3.67,3,yes,318,528.1,52.739999999999995
132,0,1,2.84,3,yes,330,666.5999999999999,65.54
41,0,1,4.64,2,no,288,609.5,61.93
44,0,0,2.86,1,no,335,645.5999999999999,65.67
78,0,0,2.57,3,no,286,499.7,41.81
149,0,0,1.7,1,no,270,387.1,31.52
72,0,1,1.67,4,yes,274,575.3,50.580000000000005
139,0,1,4.0,0,no,365,612.5,63.78999999999999
141,0,1,2.05,3,no,345,532.5,49.17
140,0,0,2.19,1,no,356,608.9000000000001,52.699999999999996
99,0,0,3.02,2,no,301,620.0,58.029999999999994
166,0,0,3.13,1,no,256,547.5,57.459999999999994
124,0,0,1.43,1,no,320,593.9,53.11000000000001
74,0,0,2.19,0,no,276,586.8,52.809999999999995
117,0,0,3.59,2,no,297,618.7,56.82
85,0,0,2.97,3,no,308,677.3,67.53
36,0,1,1.81,0,no,311,413.90000000000003,42.56999999999999
102,1,0,3.46,0,no,340,602.3,65.2
76,0,0,2.84,0,no,344,741.1,70.57
165,0,0,0.0,1,no,317,681.1,69.39999999999999
130,0,0,3.32,1,no,294,567.2,53.54
55,1,0,3.86,1,yes,302,651.7,63.56
92,1,0,2.54,2,yes,333,635.5,55.36
129,0,1,1.59,2,no,367,661.6999999999999,55.87
18,0,0,2.21,1,no,329,638.8000000000001,67.53
161,1,0,3.0,2,no,292,516.0,49.949999999999996
75,1,0,2.62,4,yes,243,492.79999999999995,52.82000000000001
126,0,1,3.4,3,no,316,545.0,46.43
93,1,0,4.73,1,yes,291,646.0,64.48
109,1,1,2.51,0,no,325,643.4,61.92
80,0,0,3.35,0,no,277,624.8000000000001,60.1
41,0,0,3.0,1,no,217,547.1,49.57
136,0,1,3.08,2,no,273,607.5,54.69
92,0,0,1.51,3,yes,327,771.8,67.17
143,0,1,3.13,1,no,323,643.5,61.160000000000004
118,0,1,2.59,5,yes,337,540.0,53.64
193,0,1,3.32,1,no,312,532.0,47.56
73,0,0,4.0,3,no,282,623.8,64.03
62,0,0,2.46,2,no,288,618.4000000000001,57.629999999999995
30,0,1,1.78,0,no,264,658.4000000000001,65.35000000000001
60,1,1,3.78,0,yes,289,589.8,68.4
96,0,0,2.05,2,no,308,587.9,51.01
52,0,0,2.54,2,no,320,496.69999999999993,55.53
87,0,0,3.48,1,no,291,562.4,55.32
41,0,0,2.43,3,no,293,470.20000000000005,52.67
112,0,0,3.13,1,no,300,546.8,63.46
88,0,0,2.21,4,yes,244,474.29999999999995,36.96
122,0,1,2.48,7,no,316,673.4,71.18
61,0,0,2.65,2,no,276,349.20000000000005,27.389999999999997
87,0,0,3.51,1,no,349,470.7,56.959999999999994
30,0,0,3.38,0,no,322,601.5999999999999,62.8
95,0,1,3.21,0,no,307,438.5,30.18
46,0,0,2.32,2,no,348,481.40000000000003,43.559999999999995
100,1,0,3.27,0,no,324,610.8,49.53
77,0,0,1.81,2,no,267,615.5,56.83
98,0,1,2.89,2,no,238,674.4,67.19
125,0,1,1.46,1,no,299,369.2,43.47
194,0,0,4.91,1,no,326,548.0,41.95
190,0,1,2.3,0,no,287,470.5,49.309999999999995
165,0,0,3.35,0,no,353,632.0999999999999,63.15
59,0,0,2.67,2,no,330,541.9,46.529999999999994
47,0,1,2.11,1,no,286,422.8,43.41
150,0,1,1.78,0,no,242,509.79999999999995,55.5
152,1,1,3.83,9,yes,294,756.0999999999999,73.85
26,0,0,0.95,3,no,332,642.6,66.89
79,0,1,3.29,3,no,317,422.5,41.629999999999995
95,0,1,3.21,1,no,311,646.4,55.24
69,1,0,2.27,2,yes,299,699.5,76.4
95,1,1,2.78,5,yes,219,471.3,46.349999999999994
31,0,1,1.59,0,no,282,601.4,49.44
121,0,1,2.73,4,no,265,639.4,66.64
44,0,0,2.75,3,yes,294,738.5,79.57
74,0,1,3.54,2,no,262,490.0,51.169999999999995
58,0,1,2.57,1,no,291,644.8,61.88
74,0,0,2.24,2,yes,313,682.8,62.53
125,0,0,2.08,2,no,316,576.7,47.9
80,0,0,2.89,1,no,300,642.7,58.480000000000004
99,0,1,2.46,1,no,306,637.5999999999999,64.35
99,0,0,2.94,1,no,295,474.7,43.5
66,0,1,2.16,2,no,307,718.3,71.3
97,0,0,1.27,3,no,278,523.0,57.48
75,0,1,3.05,2,no,304,641.5999999999999,54.92
85,1,0,0.97,2,no,288,551.3,59.339999999999996
108,0,0,2.7,2,no,276,597.5,69.94
51,0,0,2.78,1,no,314,565.5999999999999,56.019999999999996
186,0,1,3.92,2,no,313,547.9000000000001,41.03
44,1,0,2.92,1,no,282,476.0,40.21
64,0,1,2.43,3,no,321,644.2,67.5
44,0,0,2.67,2,yes,277,784.4000000000001,74.87
114,0,1,3.83,1,no,284,693.7,77.97000000000001
110,0,0,3.16,2,no,324,469.8,47.06999999999999
90,0,1,2.08,1,no,295,557.6,57.25
72,0,1,4.46,1,no,313,708.9000000000001,68.64
113,0,0,2.0,1,yes,380,802.7,76.19
171,0,1,2.75,3,no,285,557.2,60.3
104,0,0,2.89,1,no,316,488.5,48.720000000000006
165,0,0,2.78,1,no,261,655.2,56.019999999999996
104,0,0,2.65,0,yes,299,711.1999999999999,73.0
110,0,0,2.75,1,no,334,420.7,32.43
90,1,0,2.27,1,no,385,641.4000000000001,64.74000000000001
114,0,0,2.0,1,no,295,407.8,41.91
101,0,0,3.65,5,yes,290,519.9,45.01
117,0,1,2.32,1,no,286,421.79999999999995,37.769999999999996
82,0,0,3.48,1,no,336,516.4,47.26
92,0,0,2.59,2,no,317,476.90000000000003,47.23
82,0,1,2.57,2,no,340,630.5999999999999,64.44
90,0,0,3.38,2,no,325,637.3,60.87
124,0,0,2.59,3,no,247,481.6,46.59
39,0,0,2.46,2,no,277,498.3,46.58
75,0,1,2.48,0,no,299,661.8,64.59
102,0,0,2.46,2,no,306,519.1,46.02
143,0,0,1.24,1,no,284,512.5,55.05
53,0,0,3.13,3,no,354,567.3,43.34
30,0,0,3.08,1,no,355,564.8,55.66
112,0,0,3.43,2,yes,318,813.0,87.03
129,0,0,3.54,0,no,321,558.2,54.13
63,0,1,1.78,1,no,254,501.1,45.08
28,0,0,2.86,0,no,304,645.2,62.46
90,0,0,3.43,1,no,222,646.9,59.5
151,0,0,2.08,4,no,367,585.5,55.24
105,1,1,3.56,1,yes,292,628.9,64.59
41,0,1,1.97,2,no,325,650.8000000000001,68.14
48,0,1,2.16,1,no,271,605.3,56.75
166,1,1,2.38,2,no,381,701.5999999999999,58.56999999999999
79,0,0,3.78,3,no,380,615.9,55.629999999999995
153,0,0,3.13,1,no,300,492.8,52.79
110,1,0,3.92,0,yes,260,748.7,77.89
163,0,0,3.46,1,no,297,653.6,61.08
105,0,1,2.86,2,no,339,477.5,53.56
172,0,0,1.92,3,no,307,626.6,61.019999999999996
126,0,0,1.38,0,no,313,631.2,57.4
97,0,0,3.73,3,no,300,515.5,50.29
95,1,1,1.11,0,yes,290,610.6,62.41
87,0,0,2.0,4,no,287,666.3,68.42999999999999
97,0,0,1.76,1,no,304,482.5,44.5
140,0,0,3.75,0,no,299,590.8000000000001,57.78
169,0,0,2.57,0,no,276,524.4,45.4
68,0,1,1.3,3,no,305,552.4,46.77
122,0,1,4.21,2,no,298,456.1,42.41
36,0,0,2.92,2,no,318,708.8,63.11
120,0,1,2.75,5,no,251,604.0,54.13
121,0,0,2.48,1,no,354,517.0,50.0
64,0,1,2.03,0,no,316,545.0,52.14
13,0,1,3.48,1,no,306,672.2,69.32000000000001
106,0,0,3.08,0,no,310,473.20000000000005,42.730000000000004
88,0,0,2.13,2,no,295,541.2,51.49
74,0,0,2.65,1,no,328,572.3,54.35
